date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence
573,2,6,6940119,7480,34409,112,4449388,15802,1013,477,41503936,35770707,6505612,98680,13273,1,44,404302372,232,24,6,17,4134,38,360,15
946,1,1,1737095,9496,246231,90,91257643,11167,2704,428,78566652,14049448,21660098,39760,19546,0,27,5178038,16,31,13,7,33437,47,139,19
24,1,6,4780450,182,412540,140,94387428,42407,143,421,46790421,67499822,48247274,22084,1416,0,28,151193341,676,28,17,15,54145,37,175,9
767,0,2,7469344,7190,401954,288,14824516,13338,1045,49,4150926,6309401,44747158,37458,19492,2,69,565607340,813,48,21,3,22855,41,633,2
787,1,5,2109818,6687,496246,900,33204861,76289,332,496,45110515,36027863,2602034,51946,907,1,0,462795813,276,27,9,4,37489,26,650,12
510,0,2,2231785,5565,286198,729,28474481,71520,77,200,5254162,71229060,19982815,66601,8507,0,9,1044648650,100,25,23,13,49328,32,791,2
406,1,2,3853339,7241,29709,588,1595575,18895,311,81,16155687,55285902,25282269,69218,13573,1,94,1357143951,342,46,9,6,66686,23,147,12
442,0,8,9467719,7651,109321,410,39701092,47910,1295,406,9500257,73555619,12271838,59351,9710,2,18,1170042657,299,22,22,3,8086,13,722,11
940,0,0,996107,5575,478859,376,68842193,65898,2072,112,65690115,33535580,35549452,47561,18318,1,41,832997193,456,27,15,10,11848,15,322,14
962,2,1,7130144,1589,363,383,85282074,3454,854,263,58962976,35041754,32856873,50203,5951,1,84,264178572,271,33,15,8,36112,18,329,7
180,2,9,4545583,9779,272502,845,21292273,86540,2534,64,56033066,14756150,60513148,98024,4344,0,0,631010427,346,37,12,16,29874,17,189,3
957,1,3,3747389,8851,494829,151,85433637,60797,1321,237,23383716,19856967,10777494,96996,7426,1,92,244018503,908,29,7,16,29344,26,790,5
803,1,6,4142807,159,396456,834,57731160,83137,2907,279,37507521,52026427,14747209,8820,9993,0,5,1388244486,341,34,11,13,21490,12,786,13
685,1,4,7988004,6555,465417,750,90972012,50637,2868,222,66095788,58527672,27161201,57232,6334,1,17,1322965103,787,25,13,7,39687,25,705,10
514,0,2,6245035,9203,45689,626,95361377,5349,2317,34,92014416,79872990,22142005,18757,19006,2,2,444953960,629,37,14,10,61946,45,163,11
405,1,9,3602279,8244,264080,318,67325724,56753,973,574,32754728,63271657,26487295,67123,9048,1,51,1057203738,344,32,19,14,12103,20,689,7
264,1,1,5515989,6846,374416,368,34365567,4653,925,612,43545656,58767865,46473646,62175,10068,1,94,540309946,819,45,12,4,15854,11,544,16
975,1,3,2121690,2307,91074,605,76545345,34843,969,29,54654645,35246676,43254786,16753,17909,1,83,1214137919,599,32,13,8,47286,17,190,19
742,1,6,491234,1228,175037,994,35546567,65465,2617,383,54436635,76693563,34657645,9163,1416,1,63,432676252,18,33,23,16,4877,43,283,6
264,3,8,9909709,7226,208606,559,25455664,45467,2906,621,92637239,34636356,21876233,78126,1794,1,18,608323891,78,37,20,9,47489,47,582,14
622,1,1,5401218,5590,882,702,35456776,25456,1280,73,65695774,26567723,86986332,35763,2720,1,86,503771546,755,23,5,13,22697,44,662,4
165,2,0,6914550,6919,413440,461,84563444,47435,569,853,14534723,32762543,75625387,27853,6826,2,75,596386175,452,24,21,4,25691,14,693,15
78,0,0,6167294,5585,367371,11,43254544,5763,2051,333,97823467,73846484,63582382,23876,6795,0,26,781397694,411,43,24,16,28982,19,480,9
128,2,8,9286029,9227,254822,155,63453567,64543,1521,758,35564767,43278274,76739292,74687,5076,2,80,289828503,154,28,23,4,25121,48,474,12
368,0,9,6906726,6046,125865,683,23465647,35464,1313,43,74665473,12974845,48639286,76634,15462,2,87,618020460,165,40,21,17,59043,16,578,5
722,2,3,5888794,4945,123745,476,43454778,55334,2895,637,65434577,47569683,14678364,3652,6369,0,69,456282575,799,22,17,4,66278,6,644,17
444,1,0,7558158,7927,424041,938,95436563,56332,1933,262,13435657,32476124,96342273,76348,8544,0,10,372308313,830,44,10,18,38812,14,219,4
113,1,8,6510425,7016,463956,400,36546346,65445,724,578,66344637,37587987,23658274,76327,11423,1,98,282781247,564,49,18,9,41149,48,617,18
724,3,2,8511017,7758,28885,807,34775434,2344,627,864,56675743,28366985,13386489,31627,9619,1,7,1046248245,302,31,18,13,5863,20,339,2
469,1,5,7887739,5086,171128,176,712864786,32554,1154,65,47657627,28164985,54848673,43672,5826,0,65,938212830,933,35,10,17,50210,46,368,6
694,2,8,769598,9456,396419,340,453436466,32544,2252,853,83437657,64965979,54478126,21532,2192,0,11,897220570,627,33,10,3,41302,5,154,11
491,1,7,5292895,7161,191313,56,987268754,96273,2054,900,73745263,28634269,73248687,36786,19920,2,90,481255193,798,46,12,7,4477,38,511,17
315,1,4,7971379,1884,395460,854,81819290,5302,594,355,12050999,41983950,13109186,31586,15250,0,34,922458702,13,20,17,18,14691,4,165,11
773,0,6,3331068,1809,360466,851,42773387,63172,2382,371,5792427,76756434,22774106,91983,2320,1,51,1213043007,455,39,10,9,14934,9,739,5
380,1,3,3256415,3167,330763,447,5133869,38059,1885,249,38895244,38622689,5805761,85551,16917,2,17,501286265,872,39,16,15,12796,30,534,17
973,2,3,874371,6352,21584,202,92965205,908,940,448,84468355,62899564,5758829,67879,9409,2,54,196743054,344,31,22,5,46446,21,793,12
252,3,3,5654237,9009,270665,696,8763127,60252,678,483,67813854,66115736,6192373,68922,15529,1,93,257854742,729,26,10,14,65062,33,271,5
889,1,0,973548,6056,181089,632,41037858,80659,2624,181,64768712,50604578,63275252,52219,14795,0,90,84255787,661,27,24,4,53645,48,575,11
101,1,9,3344014,2437,295685,737,48706554,12877,2492,325,7025007,62501588,67631826,35107,11180,1,6,796092803,160,44,14,15,33938,2,775,13
384,1,1,7064746,6468,29063,201,7112905,14239,670,331,18268068,19441362,49032171,683,15370,2,37,22145891,777,21,7,8,28879,9,309,13
194,2,4,9602083,9080,70268,329,97313216,86971,96,201,73062196,34450861,46463885,90987,18363,2,26,1369914036,121,36,6,10,27665,32,167,14
95,0,8,6216204,5951,256306,362,61763654,27313,2403,158,57299300,79165066,43706416,66590,18460,0,48,1360635023,730,29,11,5,42486,44,543,18
805,2,9,5193542,5276,126218,891,13860696,42103,1840,466,95140247,42432700,48768623,61097,11268,1,83,1144900846,991,27,10,13,25786,39,356,16
878,3,5,2959034,8859,380350,453,52363536,48408,274,394,6523058,66923307,41084600,89131,10136,1,73,574769172,958,35,21,8,16602,23,291,12
135,2,4,4574293,7818,458168,355,1038904,83251,1770,57,69512616,11767690,44476628,63402,11291,2,34,940156084,802,46,19,9,42596,37,795,1
915,3,7,6706971,4728,224126,215,5635222,88771,1357,59,59889082,47463675,52246020,85934,6241,1,38,854930576,539,38,22,14,27958,10,627,15
134,3,1,43585,2624,170635,971,83491406,91665,2321,461,55914407,34008282,20619382,23685,12549,1,65,1151439810,678,43,16,6,1974,0,439,19
45,2,6,2539448,5738,170824,554,83764253,10534,604,40,75999026,23340719,16485207,65884,12021,0,19,1118803147,730,38,13,17,2533,28,135,6
27,3,2,109556,4232,226305,886,90275486,43060,1360,344,54913390,43211109,7297702,94426,4114,1,10,291631338,18,40,10,15,19915,40,234,12
24,3,0,1575557,5793,395783,22,61931813,17189,448,113,21726243,35383773,18053543,16362,14347,1,24,851362468,111,32,16,12,36357,21,309,15
443,0,7,8306461,4523,409337,154,77081924,86067,2880,17,44988878,2059838,41075050,99326,2584,0,12,340346501,601,47,17,5,25442,28,441,13
437,3,1,2009021,5571,394890,185,31327650,10967,2331,29,99075692,79421362,15541997,90561,9740,1,35,1166926832,16,35,12,14,2659,21,448,18
398,0,2,1201482,9010,76411,248,15177259,81991,2223,186,19870523,79609260,18183884,503,1488,1,93,549017366,909,36,23,3,16397,25,117,9
191,1,7,542335,9298,109876,748,91529977,65563,2081,38,42825604,7104494,41582053,41045,13319,2,12,51184792,494,35,17,16,7652,44,760,11
1000,1,3,4270070,2224,459491,804,48928001,8660,1269,298,77695121,72016897,54427628,13576,227,0,81,1003022530,265,29,21,8,66455,23,479,1
615,1,2,6700379,8389,198153,133,75771215,90875,2769,323,24930683,12779294,26451110,33290,5242,2,53,13919102,399,26,17,4,22585,0,113,18
932,0,8,3560920,6091,160212,320,92610426,39823,206,186,3555495,59684489,8641281,60495,13401,1,63,569540445,852,22,11,5,2018,39,590,5
718,1,2,6860006,8662,140399,389,73877278,55842,2400,371,2211584,38482133,14201892,11884,14850,0,17,827996960,927,41,19,19,46578,30,149,19
192,1,1,2484413,6361,463879,433,13316702,9616,628,245,49437970,40916718,58779389,51660,14094,0,15,1333895068,125,28,9,16,17038,36,604,4
992,2,8,2907360,1948,23331,21,56233827,75976,963,215,24481878,60817376,59242838,25205,16177,2,16,389921731,780,31,16,7,40104,45,591,5
1007,1,6,5895544,7094,23004,872,14933920,48738,1534,203,13787289,38354462,57608537,63739,7315,0,66,604968333,582,47,13,19,11401,14,789,10
861,2,6,5697469,6318,238441,599,29645421,13107,2341,215,1493488,40242449,19213850,32785,15746,0,74,1330913172,589,36,7,5,68896,25,339,13
854,1,4,2235000,3796,381387,664,58586728,61404,2504,483,26087196,25951078,24809070,1268,12988,1,92,743434630,781,22,13,15,67947,30,201,9
807,0,5,6908531,234,403708,124,74123247,94182,1761,340,36741434,21673601,65988840,66712,13198,1,39,177139924,230,43,11,14,46262,17,164,7
477,1,7,4322252,9120,448013,78,45231048,91787,1209,157,97556286,24997447,69518301,18016,698,1,46,990910144,535,27,7,16,49796,42,150,11
619,0,3,5822184,3607,189167,857,50529818,15954,2848,366,53902945,14142110,56834623,61939,437,2,46,1374420833,326,36,21,9,30385,34,667,19
43,0,6,402690,8043,406965,967,39169490,16943,719,165,65577682,56968623,16338528,78281,15995,2,26,461126225,103,35,14,9,67390,36,602,19
962,1,4,2548421,522,325361,50,38978876,40725,2399,62,61896637,56826747,32528826,77497,6180,2,32,518019178,114,27,11,13,30238,40,783,7
508,1,3,1954109,5904,89044,727,4375296,45434,1830,237,85192239,39713156,36587323,49266,9876,1,84,1048630923,145,23,15,9,17523,12,316,13
545,2,3,4422880,4888,271189,175,29155998,85751,1117,375,31602493,24825990,14003893,41712,18537,2,34,1106069901,618,26,20,3,8961,37,662,14
731,2,9,7205547,9821,282260,869,57832103,10110,5,188,99645121,56525331,10159695,6768,12902,1,86,341841000,114,22,5,15,15360,38,165,13
900,1,8,8323735,5832,18667,252,7783634,87091,1347,434,6974203,15370459,31821754,59214,5278,2,30,90958363,574,28,15,13,40482,42,732,3
709,0,7,6457294,7122,337201,965,27875386,16462,817,193,75860229,66214943,27816919,18972,959,1,33,433764268,592,49,14,10,17911,24,136,11
332,1,1,1384250,5842,74205,245,21768260,79232,286,174,83499494,66868825,31955669,98625,10031,0,56,340914007,904,32,22,8,46143,25,651,15
503,3,5,61087,1316,27302,738,32470815,54081,213,499,38185413,26752424,64268919,73162,7587,2,10,304251735,630,45,16,8,27370,4,315,4
522,0,7,6409907,1124,404499,105,95504627,52799,1037,241,62339514,1090857,7834864,63412,8906,1,92,450839874,985,36,7,15,62194,42,226,7
782,1,4,1496176,5621,162007,192,95547950,66567,1838,402,23375109,17905143,24369865,45281,14298,2,82,114558457,40,39,12,15,39534,26,593,4
785,0,2,39353,5423,72534,315,73934328,89301,2498,402,52320798,53817300,21730203,28403,9697,1,67,150320008,707,24,17,16,43959,29,727,17
922,1,9,6484531,2587,225414,301,95857572,51224,517,463,13382760,39495340,4892725,94568,19098,2,98,6506583,36,28,5,15,39402,6,634,17
598,1,8,3360011,9215,162696,547,86588513,56063,1275,42,68798439,73980260,53283984,30226,1347,0,1,448572417,732,35,22,15,62104,30,319,4
733,1,3,7654909,5672,13440,953,76484451,55240,1173,135,86336311,61817232,57824611,49985,5008,1,41,1208487862,391,46,6,7,5375,2,347,15
770,1,1,4259622,1378,373145,715,90487793,81352,1518,383,16654773,73259903,4673109,28783,4868,1,85,999681895,615,21,5,4,5647,46,232,7
973,1,3,4959617,3374,308645,933,84722438,17868,2419,281,64419796,53718574,67268629,73939,3960,1,43,288665627,316,35,5,15,49420,43,676,14
969,2,0,5725570,1519,480549,778,43736877,75973,1648,279,56893608,38710237,48061770,95155,9944,1,0,1261013960,167,21,18,4,53989,9,174,10
571,1,7,416880,5777,394485,267,85858552,80989,2527,83,3682027,27687620,52311331,68155,2505,1,15,1118093996,726,33,14,19,30917,29,732,9
620,1,5,7072695,7935,270012,169,33057049,22222,1533,140,62955281,30598598,62433974,66883,18121,0,43,1264128934,905,38,7,17,25309,30,520,17
842,1,1,7433296,6093,161323,550,96674572,79794,1814,260,47967574,54445089,68180127,68700,12361,1,66,1385653755,191,42,22,12,20178,40,512,13
514,2,8,4965050,8418,340053,454,84966309,63924,1320,138,93097189,10198781,60060557,79095,15843,1,16,995640189,921,24,9,8,17173,37,686,5
894,3,8,813168,5355,84523,650,51473089,99854,2455,105,1363990,50318257,24547857,27788,17492,1,44,395957148,148,24,11,11,63925,49,567,3
438,0,4,225281,4968,169801,291,12013272,78513,2771,43,74488483,68072224,10841637,99214,19063,0,1,23667901,738,34,8,15,21364,17,312,18
710,1,2,3782875,9083,15734,563,30011229,54649,1911,77,31370758,69593210,64769196,7166,17421,1,47,1014643579,959,49,23,15,45717,6,344,3
796,2,9,2995765,5574,173501,798,17972663,83749,2446,384,73738492,66863130,34224470,35219,5760,2,89,488958870,155,30,20,4,55309,28,221,14
364,0,7,7734102,4072,172409,800,33222319,10223,169,359,21171473,70228463,53122975,65441,9103,0,59,1319704492,440,32,19,16,2515,38,424,10
434,0,6,5595108,2257,433541,140,90427071,48166,2719,22,29141536,47866566,26758698,403,13081,1,44,1122072200,344,32,5,13,3337,14,177,3
1021,2,7,5674719,8588,345744,145,85474996,39369,535,101,53077026,23357815,35709717,75569,18480,0,16,1355738809,394,22,15,3,23986,11,557,15
946,1,2,8658144,4424,455730,424,35789700,86379,756,280,17418734,12453858,9676118,27224,15785,0,20,724529568,755,43,16,8,49025,40,218,18
456,1,9,6609280,3237,270577,313,6443399,69392,155,161,81208429,7552880,66967676,83610,358,1,7,452162297,664,27,12,11,18995,37,704,3
