REF_DATE,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1908,11,35,1600,400,600,250,14
1908,18,1,3900,378000,238500,97000,4049
1908,19,35,960,10700,27600,11150,370
1908,0,21,1065,47200,109600,44400,1012
1908,1,63,1445,7000,12000,4850,441
1908,2,31,1240,45950,91400,37000,1435
1908,4,34,2105,28600,33600,13600,963
1908,5,0,22470,400000,44100,17800,2015
1908,8,34,1230,66300,133200,53900,2269
1908,10,35,875,547100,1542500,624200,19229
1908,11,42,875,18350,51900,21000,767
1908,12,34,1010,8300,20200,8200,283
1908,18,1,2690,3151000,2893800,1171000,38198
1908,19,42,910,38800,105500,42700,1633
1908,0,18,1275,42000,81000,33000,754
1908,6,39,645,29100,110000,45000,1128
1908,10,19,1195,450000,930100,376000,8470
1908,12,45,1000,1000,3000,1000,45
1908,18,0,2400,24000,14300,10000,133
1908,19,27,975,946000,2396000,970000,25883
1909,0,15,1745,131000,186000,75000,2016
1909,6,41,1400,2800,5800,2000,114
1909,10,16,1785,592000,820000,332000,9287
1909,12,20,1335,4000,6800,3000,81
1909,16,0,18100,14500,2000,800,80
1909,18,0,4050,81000,60400,20000,800
1909,19,27,1675,261000,385000,156000,7037
1909,0,0,0,0,0,0,0
1909,10,0,0,0,0,0,0
1909,19,0,0,0,0,0,0
1909,0,21,1600,1206450,1864900,755200,25434
1909,1,52,1595,35950,55800,22550,1881
1909,2,27,1485,169900,282400,114350,4554
1909,4,26,3450,489600,352200,142000,12760
1909,5,0,23060,2521000,269600,109300,15116
1909,6,49,1005,56300,138500,56000,2761
1909,8,28,1680,395850,582100,235550,10916
1909,10,22,1450,5451400,9302600,3764800,122390
1909,11,32,1395,221650,393300,159150,7124
1909,12,29,1180,43902,91300,37181,1254
1909,16,0,19500,78000,10000,4000,500
1909,18,1,3240,10776000,8210300,3325000,132288
1909,19,31,1445,4537850,7750400,3135950,141320
1909,0,17,1610,454000,696000,282000,7929
1909,6,52,900,8100,22400,9000,418
1909,10,20,1515,852000,1390000,563000,17178
1909,11,17,1300,650,1200,500,11
1909,12,23,1000,2000,4700,2000,46
1909,18,0,3100,155000,115700,50000,1298
1909,19,32,1260,1434000,2808000,1136000,45854
1909,0,32,1445,10550,18000,7300,334
1909,8,27,1905,20650,26800,10850,561
1909,10,30,1175,251900,529300,214200,7495
1909,18,1,3400,2145000,1558500,631000,24952
1909,19,40,1345,35950,66100,26750,1430
1909,0,32,1575,2050,3200,1300,65
1909,1,99,3070,2150,1700,700,212
1909,2,25,1550,37600,59900,24250,950
1909,5,0,36670,11000,800,300,38
1909,8,30,1650,3300,5000,2000,98
1909,10,31,1060,89050,207200,83850,2801
1909,11,49,1790,1700,2400,950,84
1909,12,29,1260,102,200,81,3
1909,18,1,2810,777000,684400,277000,8777
1909,19,41,1350,10750,19600,7950,440
1909,0,35,1335,4800,8900,3600,170
1909,1,83,1955,2250,2900,1150,186
1909,2,29,1375,10250,18400,7450,294
1909,5,0,13330,8000,1500,600,75
1909,8,31,1805,5150,7000,2850,159
1909,10,33,1200,67200,138100,55900,2214
1909,11,46,2635,1450,1400,550,66
1909,12,30,2000,400,600,200,12
1909,18,1,3950,1016000,634400,257000,12602
1909,19,43,1335,11000,20400,8250,477
1909,0,26,1560,456200,721500,292000,11670
1909,1,41,1540,24600,39600,16000,1000
1909,2,26,1465,76900,129700,52500,1993
1909,4,26,3590,463000,320000,129000,11837
1909,5,0,22630,2082000,227000,92000,12691
1909,8,26,1745,297800,422300,170900,7864
1909,10,27,1325,1684000,3142200,1271600,45315
1909,11,31,1425,197000,341300,138100,6008
1909,12,28,1205,27900,57300,23200,770
1909,16,0,19800,63500,8000,3200,420
1909,18,1,3030,4330000,3535600,1431000,60618
1909,19,37,1550,442200,705800,285500,16370
1909,21,36,1170,59200,124700,50500,2115
1909,22,37,1630,383000,1310066,0,14255
1909,0,17,1660,683000,1017000,412000,11563
1909,6,49,1005,56300,138500,56000,2761
1909,10,17,1740,2860000,4057000,1642000,49689
1909,11,17,1300,650,1200,500,11
1909,12,24,1165,7000,14200,6000,168
1909,16,0,18100,14500,2000,800,80
1909,18,0,3360,269000,192600,80000,2278
1909,19,30,1440,4014000,6878000,2783000,121560
1909,0,27,1540,3700,5900,2400,99
1909,2,25,1290,2000,3800,1550,50
1909,5,0,3000,9000,700,300,32
1909,8,25,2035,12200,14800,6000,304
1909,10,26,1285,95650,184000,74450,2480
1909,11,35,1600,400,600,250,14
1909,18,1,3630,352000,239700,97000,3572
1909,19,36,1345,14200,26100,10550,513
1909,0,33,1290,56700,108400,43900,1867
1909,1,69,1480,6950,11600,4700,478
1909,2,29,1510,43150,70600,28600,1267
1909,4,35,2045,26600,32200,13000,923
1909,5,0,25530,411000,39700,16100,2279
1909,8,32,1440,77400,133000,53800,2491
1909,10,30,1030,655500,1574100,637000,19891
1909,11,46,1090,20450,46400,18800,941
1909,12,35,1105,8500,19000,7700,301
1909,18,1,3410,4032000,2923600,1183000,44440
1909,19,43,1125,45700,100500,40700,1960
1909,0,17,1780,98000,135000,55000,1618
1909,6,49,1010,45400,110300,45000,2229
1909,10,16,1895,1416000,1847000,747000,23224
1909,12,41,1000,1000,2700,1000,41
1909,18,0,3300,33000,16500,10000,180
1909,19,30,1555,2319000,3685000,1491000,68669
1910,0,20,1100,54000,121400,49000,1075
1910,5,0,4000,2000,1300,500,18
1910,6,82,155,2000,30900,13000,163
1910,8,21,1145,800,1800,700,17
1910,10,22,825,261000,783100,317000,5749
1910,11,40,1000,100,300,100,4
1910,12,20,1000,3000,6700,3000,59
1910,16,0,13200,5300,1079,400,29
1910,18,1,1970,118000,152400,60000,1321
1910,19,27,695,247000,879800,356000,6676
1910,0,39,1375,1100,1900,800,43
1910,1,87,1500,150,300,100,13
1910,5,0,15000,3000,400,200,18
1910,8,44,1250,250,500,200,11
1910,10,37,2030,27200,33200,13400,1005
1910,11,37,2000,1200,1600,600,44
1910,12,30,1000,200,400,200,6
1910,18,2,3600,198000,136400,55000,3963
1910,19,40,1475,5600,9500,3800,224
1910,0,23,1215,628550,1283100,518350,14654
1910,1,63,1210,22550,46100,18600,1417
1910,2,26,1070,156800,361900,146450,4095
1910,4,21,3065,363600,293600,118600,7664
1910,5,0,20630,2456000,294300,119050,8775
1910,6,82,455,107850,582200,236100,8870
1910,8,24,1545,267150,427000,172750,6308
1910,10,23,1080,3785150,8656200,3502600,86796
1910,11,32,910,130450,355200,143650,4196
1910,12,26,850,39900,114700,46900,1038
1910,16,0,24700,170500,17045,6900,1096
1910,18,0,2820,9545000,8344100,3384000,91289
1910,19,29,1000,3595200,8864500,3587950,104817
1910,0,21,845,142000,416000,168000,2925
1910,5,0,6840,13000,4600,1900,94
1910,6,86,320,4500,34700,14000,387
1910,8,20,1000,200,500,200,4
1910,10,21,955,468000,1209200,489000,9903
1910,11,40,1500,150,300,100,6
1910,12,20,1000,1000,2700,1000,20
1910,18,0,1900,114000,138200,60000,1020
1910,19,31,830,929000,2759400,1117000,28584
1910,0,33,1305,6850,12800,5250,224
1910,8,25,1670,6600,9700,3950,167
1910,10,27,1090,211650,478900,193800,5742
1910,18,0,2670,1496000,1385900,561000,13597
1910,19,38,1155,25300,54400,21950,953
1910,0,34,1190,1250,2600,1050,42
1910,1,73,1500,150,200,100,11
1910,2,24,1060,25050,58400,23650,609
1910,5,0,20000,2000,200,100,9
1910,8,30,1335,400,700,300,12
1910,10,27,1050,85400,201100,81400,2332
1910,11,40,1335,200,400,150,8
1910,12,0,1000,0,0,0,0
1910,18,0,2380,607000,630300,255000,5035
1910,19,39,1030,5550,13400,5400,218
1910,0,37,1410,3100,5400,2200,114
1910,1,80,1165,350,700,300,28
1910,2,29,1170,4500,9500,3850,132
1910,5,0,20000,5000,600,250,21
1910,8,31,1685,1600,2400,950,49
1910,10,32,1175,45850,96300,38950,1466
1910,11,60,1000,50,100,50,3
1910,12,50,500,100,400,200,5
1910,18,0,3000,657000,540600,219000,6533
1910,19,38,1230,6100,12200,4950,230
1910,0,24,1505,306700,503200,203600,7414
1910,1,61,1205,19800,40600,16400,1214
1910,2,23,1070,72550,167300,67700,1699
1910,4,20,3145,349000,274800,111000,7146
1910,5,0,21050,2084000,245300,99000,7109
1910,6,65,590,2100,8800,3550,136
1910,8,23,1650,216300,323400,130900,4889
1910,10,23,1195,1387000,2871300,1162000,31623
1910,11,31,900,117350,322000,130300,3655
1910,12,26,835,31300,92700,37500,807
1910,16,0,25400,165200,15966,6500,1067
1910,18,0,3110,4103000,3261800,1320000,39526
1910,19,32,1530,539900,870400,352700,17090
1910,21,32,1205,53900,110400,44700,1702
1910,22,32,1580,486000,1310066,0,15362
1910,0,20,980,263000,667100,269000,5300
1910,5,0,5930,16000,6500,2700,118
1910,6,83,455,105400,572000,232000,8709
1910,8,22,1090,1200,2900,1100,26
1910,10,20,1045,1638000,3880600,1570000,33275
1910,11,37,1165,350,800,300,13
1910,12,19,1000,4500,10200,4500,86
1910,16,0,13200,5300,1079,400,29
1910,18,0,1950,273000,328500,140000,2663
1910,19,29,940,2999000,7867400,3184000,85474
1910,0,27,1250,2500,4900,2000,68
1910,2,27,1000,950,2400,950,26
1910,5,0,2000,2000,200,100,7
1910,8,23,1705,4600,6600,2700,105
1910,10,24,1095,80400,181500,73450,1943
1910,11,20,500,50,0,0,1
1910,18,0,2670,232000,215100,87000,2029
1910,19,37,1175,13650,28700,11600,505
1910,0,33,1280,50900,98200,39700,1673
1910,1,72,1235,2100,4200,1700,151
1910,2,30,1070,53750,124200,50300,1629
1910,4,35,1920,14600,18800,7600,518
1910,5,0,20600,344000,41200,16700,1494
1910,6,71,635,350,1400,550,25
1910,8,28,1170,42800,90400,36600,1216
1910,10,29,925,521300,1392100,563400,15151
1910,11,42,920,11250,30300,12250,472
1910,12,35,845,3800,11100,4500,133
1910,18,0,2660,3475000,3231500,1308000,31539
1910,19,42,995,25400,62900,25500,1076
1910,0,19,1290,67000,129600,52000,1300
1910,5,0,333,1000,700,300,6
1910,6,83,480,98900,506400,205000,8160
1910,8,25,1000,200,600,200,5
1910,10,19,1190,909000,1888400,764000,17624
1910,11,30,1000,100,200,100,3
1910,12,12,500,500,800,500,6
1910,18,0,2050,41000,37900,20000,322
1910,19,28,1065,1823000,4228200,1711000,50213
1911,0,19,1440,95000,164100,66000,1783
1911,5,1,3330,1000,700,300,11
1911,6,47,660,28300,107300,43000,1339
1911,8,21,1545,1700,2800,1100,35
1911,10,18,1840,910000,1221200,494000,16516
1911,11,45,1000,200,500,200,9
1911,12,24,1665,10000,14400,6000,240
1911,16,0,18100,12700,1795,700,70
1911,18,1,3770,264000,170300,70000,3557
1911,19,23,1500,995000,1640000,664000,22516
1911,0,32,2275,2500,2800,1100,81
1911,1,95,1335,200,400,150,19
1911,5,0,15000,3000,400,200,25
1911,8,35,1500,1350,2200,900,47
1911,10,37,2005,36700,45300,18300,1355
1911,11,53,2000,1200,1500,600,63
1911,12,0,0,0,0,0,0
1911,18,1,5400,308000,141800,57000,5996
1911,19,36,1910,10500,13700,5500,383
1911,0,26,1575,968700,1522500,615550,24731
1911,1,71,1290,27600,52900,21400,1956
1911,2,30,1220,184350,373100,151100,5443
1911,4,25,3730,487400,322100,130700,12360
1911,5,0,20270,2433000,295500,120050,13063
1911,6,59,720,392200,1351000,546050,23179
1911,8,30,1505,320550,525500,212650,9528
1911,10,24,1445,5640100,9641200,3901300,133256
1911,11,38,1065,127000,294800,119400,4770
1911,12,30,1200,64325,131500,53600,1906
1911,16,0,19100,158800,20676,8300,1154
1911,18,1,3660,13015000,8785600,3554000,166806
1911,19,24,1400,6293500,11095900,4490250,148318
1911,0,22,1800,326000,448100,181000,7184
1911,5,0,17250,69000,9900,4000,684
1911,6,69,915,29200,79800,32000,2022
1911,8,22,1835,1100,1500,600,24
1911,10,21,1750,925000,1307400,529000,19204
1911,11,44,1250,250,400,200,11
1911,12,24,1500,3000,4700,2000,73
1911,18,1,3950,237000,156600,60000,2500
1911,19,25,1365,1710000,3094600,1252000,42089
1911,0,29,1410,7400,12900,5250,215
1911,8,27,1665,8900,13200,5350,242
1911,10,31,1115,220700,488500,197700,6865
1911,18,1,3420,1922000,1387700,562000,21328
1911,19,38,1345,31800,58400,23650,1209
1911,0,19,1545,1700,2700,1100,32
1911,1,90,1335,200,400,150,18
1911,2,26,1420,37400,65100,26350,979
1911,5,0,20000,2000,200,100,7
1911,8,29,1555,700,1100,450,20
1911,10,32,1100,92550,207600,84000,3000
1911,11,53,1500,450,700,300,24
1911,12,40,1000,25,0,0,1
1911,18,0,3180,818000,635200,257000,7333
1911,19,39,1380,7800,14000,5650,306
1911,0,35,1380,3100,5600,2250,109
1911,1,78,1570,550,900,350,43
1911,2,30,1165,5600,11800,4800,167
1911,5,0,16000,4000,600,250,27
1911,8,33,1445,2600,4400,1800,86
1911,10,34,1110,45150,100300,40600,1551
1911,11,47,1500,150,200,100,7
1911,12,35,1000,200,500,200,7
1911,18,1,3820,830000,535300,217000,10770
1911,19,40,1415,7650,13300,5400,309
1911,0,32,1420,298800,519900,210400,9608
1911,1,70,1300,23800,45100,18300,1671
1911,2,28,1150,83200,178600,72300,2331
1911,4,25,3875,469000,298200,121000,11629
1911,5,0,20590,2038000,243500,99000,10628
1911,6,75,885,3100,8700,3500,232
1911,8,29,1565,246300,389300,157500,7121
1911,10,29,1150,1306900,2806100,1135600,38134
1911,11,36,1055,110400,258400,104550,3935
1911,12,31,1120,44000,96800,39200,1351
1911,16,0,19200,146100,18881,7600,1084
1911,18,1,3100,4421000,3520700,1425000,67731
1911,19,32,1380,537000,962300,389400,17231
1911,21,33,1165,61000,129500,52400,2016
1911,22,32,1410,476000,1310066,0,15215
1911,0,21,1705,610000,886200,358000,13036
1911,5,0,15920,78000,12000,4900,754
1911,6,59,715,388700,1340900,542000,22920
1911,8,23,1640,4100,6200,2500,94
1911,10,19,1775,3494000,4861500,1967000,66907
1911,11,45,1085,650,1300,600,29
1911,12,23,1665,15000,21400,9000,345
1911,16,0,18100,12700,1795,700,70
1911,18,1,3790,568000,375800,150000,6781
1911,19,23,1405,5680000,9990500,4043000,128012
1911,0,28,1370,2600,4600,1900,74
1911,2,28,1435,1650,2800,1150,46
1911,5,0,3000,3000,300,100,9
1911,8,24,1805,5600,7700,3100,136
1911,10,28,1135,83000,180600,73100,2314
1911,11,40,1000,50,100,50,2
1911,18,1,3110,274000,217200,88000,3225
1911,19,36,1300,16350,31100,12600,594
1911,0,36,1225,50000,100700,40800,1791
1911,1,72,1165,2850,6100,2450,205
1911,2,34,1215,56500,114800,46500,1920
1911,4,40,1895,18400,23900,9700,731
1911,5,0,19680,305000,38400,15500,1613
1911,6,68,725,400,1400,550,27
1911,8,34,1290,59900,114600,46400,2024
1911,10,34,1000,581800,1440000,582700,19995
1911,11,50,1070,14100,32600,13200,710
1911,12,40,980,5100,12800,5200,203
1911,18,1,4260,5796000,3359700,1360000,64970
1911,19,43,1190,34200,71000,28700,1483
1911,0,22,1705,189000,274000,111000,4069
1911,5,0,1333,8000,1400,600,59
1911,6,59,710,331200,1153900,467000,19559
1911,8,27,1625,1300,1900,800,35
1911,10,19,1755,1659000,2332800,944000,31187
1911,11,45,1000,200,400,200,9
1911,12,16,2000,2000,2300,1000,32
1911,18,1,3350,67000,48900,20000,724
1911,19,21,1400,2975000,5255900,2127000,63407
1912,0,15,1775,135000,187000,76000,2039
1912,5,1,5000,1000,600,200,10
1912,6,36,810,43000,132000,53000,1557
1912,8,20,1820,2000,2800,1100,39
1912,10,16,1765,1043000,1461000,591000,16231
1912,11,32,1250,250,500,200,8
1912,12,21,1665,10000,15000,6000,211
1912,16,0,14700,11800,1900,800,67
1912,18,1,4090,286000,180300,70000,2900
1912,19,20,1455,934000,1590000,643000,18459
1912,0,30,2275,2500,2600,1100,75
1912,1,67,1000,150,400,150,10
1912,5,0,15000,3000,400,200,27
1912,8,32,1800,1800,2500,1000,57
1912,10,33,2125,38700,45000,18200,1278
1912,11,51,1915,1150,1400,600,59
1912,12,0,0,0,0,0,0
1912,18,1,5310,313000,145700,59000,6021
1912,19,36,2135,10900,12700,5100,392
1912,0,21,1680,1076500,1581300,640400,22354
1912,1,80,1180,25050,52600,21200,2008
1912,2,29,1420,229000,398700,161350,6544
1912,4,24,3565,430100,298000,120700,10534
1912,5,0,22660,2756000,299400,121650,14977
1912,6,36,810,663800,2021900,817000,23608
1912,8,29,1750,351000,496500,200800,10194
1912,10,21,1500,6039750,9966000,4032900,126304
1912,11,46,1010,106450,259600,105200,4944
1912,12,28,1210,62000,127000,51200,1755
1912,16,0,23700,182400,18900,7700,1005
1912,18,1,3330,11251000,8376400,3383000,137761
1912,19,23,1370,6101350,10996700,4449450,139090
1912,0,17,1770,345000,481000,195000,5855
1912,5,1,16890,76000,11000,4500,924
1912,6,41,795,31800,100000,40000,1302
1912,8,22,2335,1400,1500,600,31
1912,10,18,1615,881000,1348000,546000,16003
1912,11,60,1250,250,400,200,15
1912,12,20,1500,3000,5000,2000,61
1912,18,1,4050,243000,154500,60000,2520
1912,19,25,1495,1715000,2839000,1149000,42221
1912,0,32,1550,7900,12700,5100,253
1912,8,28,2120,10800,12700,5100,297
1912,10,31,1305,250350,475000,192200,7868
1912,18,1,3330,1780000,1317000,534000,22447
1912,19,35,1255,29450,58000,23450,1022
1912,0,31,1455,1600,2700,1100,49
1912,1,120,1500,150,300,100,18
1912,2,28,1315,34050,64000,25900,969
1912,5,0,10000,1000,200,100,8
1912,8,38,1375,550,1000,400,21
1912,10,34,1095,86450,195000,78900,2972
1912,11,60,1000,250,600,250,15
1912,12,0,0,0,0,0,0
1912,18,1,3310,808000,602000,244000,9018
1912,19,28,1220,6400,13000,5250,177
1912,0,35,1550,3100,5000,2000,110
1912,1,92,1855,650,900,350,60
1912,2,30,1450,6450,11000,4450,192
1912,5,0,20000,5000,600,250,27
1912,8,33,1905,3050,4000,1600,102
1912,10,34,1245,50400,100000,40450,1732
1912,11,60,1500,150,200,100,9
1912,12,40,1000,100,300,100,4
1912,18,1,3540,747000,521000,211000,10545
1912,19,40,1370,7200,13000,5250,286
1912,0,28,1585,328600,512000,207200,9207
1912,1,78,1170,21800,46000,18600,1706
1912,2,26,1440,118950,204000,82600,3060
1912,4,24,3700,418000,279000,113000,10044
1912,5,0,23880,2436000,251000,102000,12997
1912,6,63,1000,3650,9000,3650,231
1912,8,28,1845,276700,371000,150100,7862
1912,10,27,1330,1496800,2785000,1127000,39792
1912,11,43,1005,91850,226000,91450,3914
1912,12,29,1155,43500,93000,37600,1283
1912,16,0,24700,170600,17000,6900,938
1912,18,1,3690,5096000,3413000,1381000,67566
1912,19,34,1375,474500,855000,345600,15937
1912,21,32,1265,61500,120000,48600,1987
1912,22,34,1390,413000,1310066,0,13950
1912,0,16,1770,689000,960000,389000,11060
1912,5,1,15190,79000,12900,5200,950
1912,6,35,810,659900,2012000,813000,23362
1912,8,23,1960,4900,6300,2500,114
1912,10,16,1720,3737000,5365000,2171000,59267
1912,11,43,1335,800,1300,600,34
1912,12,22,1555,14000,22700,9000,304
1912,16,0,14700,11800,1900,800,67
1912,18,1,4090,613000,389200,150000,6148
1912,19,22,1375,5560000,10011000,4051000,120590
1912,0,29,1600,3200,5000,2000,94
1912,2,29,2000,2200,2700,1100,64
1912,5,0,2000,2000,300,100,6
1912,8,24,2325,7200,7700,3100,174
1912,10,28,1560,113500,180000,72850,3164
1912,11,40,1000,50,100,50,2
1912,18,1,2850,225000,194000,79000,2884
1912,19,35,1225,15850,32000,12950,559
1912,0,36,1275,48500,94000,38000,1759
1912,1,93,1150,2300,5000,2000,214
1912,2,34,1425,67350,117000,47300,2259
1912,4,40,1570,12100,19000,7700,490
1912,5,0,16670,230000,34000,13800,962
1912,6,60,715,250,900,350,15
1912,8,33,1350,56800,104000,42100,1864
1912,10,35,985,516900,1296000,524500,18099
1912,11,75,1005,12200,30000,12150,911
1912,12,37,980,4400,11000,4500,164
1912,18,1,2740,3449000,3111500,1259000,35579
1912,19,43,1090,26500,60000,24300,1149
1912,0,15,1770,209000,292000,118000,3166
1912,5,0,400,2000,1300,500,16
1912,6,35,815,585100,1780000,720000,20503
1912,8,29,1875,1500,2000,800,44
1912,10,15,1755,1813000,2556000,1034000,27033
1912,11,37,1500,300,400,200,11
1912,12,32,1000,1000,2700,1000,32
1912,18,0,4200,84000,54400,20000,728
1912,19,21,1290,2911000,5582000,2259000,59910
1913,0,14,1725,138000,197000,80000,1964
1913,5,1,10000,2000,600,200,20
1913,6,47,700,29300,105000,42000,1374
1913,8,17,1875,1500,2000,800,25
1913,10,16,1665,1103000,1639000,663000,17170
1913,11,35,1000,200,500,200,7
1913,12,18,1665,10000,16000,6000,183
1913,16,0,11400,9100,2000,800,50
1913,18,0,3890,272000,185000,70000,2596
1913,19,22,1530,935000,1512000,612000,21009
1913,0,32,1900,1900,2500,1000,60
1913,1,90,1335,200,400,150,18
1913,5,1,15000,3000,400,200,36
1913,8,17,3150,3150,2500,1000,54
1913,10,38,2115,41500,48500,19600,1561
1913,11,56,1900,950,1300,500,53
1913,12,0,0,0,0,0,0
1913,18,1,5020,306000,151700,61000,5656
1913,19,37,1980,10500,13000,5300,386
1913,0,19,1610,1051700,1613000,652900,20144
1913,1,69,1155,21750,46600,18800,1505
1913,2,29,1185,182300,380700,154050,5320
1913,4,25,3795,425900,278000,112300,10781
1913,5,0,19340,2374000,303600,122750,12506
1913,6,38,710,445500,1552800,628150,17084
1913,8,27,1680,322250,473800,191700,8685
1913,10,21,1480,6240300,10434000,4222550,128893
1913,11,41,1215,107550,219000,88650,4382
1913,12,26,1240,59000,119300,47500,1524
1913,16,0,19500,134300,17000,6900,906
1913,18,1,3010,10066000,8262300,3346000,127506
1913,19,25,1415,6305250,11015000,4458150,156462
1913,0,16,1545,311000,496000,201000,4864
1913,5,0,18000,81000,11000,4500,757
1913,6,41,730,16100,54000,22000,664
1913,8,15,1335,800,1500,600,12
1913,10,18,1545,875000,1398000,566000,15893
1913,11,0,0,0,0,0,0
1913,12,20,1500,3000,5000,2000,60
1913,18,0,3260,228000,166000,70000,2191
1913,19,26,1280,1451000,2804000,1135000,37858
1913,0,31,1500,6900,11500,4600,217
1913,8,26,1885,9800,12800,5200,259
1913,10,30,1230,237200,476500,192850,7049
1913,18,1,3300,1736000,1298000,526000,21408
1913,19,39,1350,31650,58000,23450,1233
1913,0,32,1600,1600,2500,1000,51
1913,1,110,1000,100,300,100,11
1913,2,25,1500,38800,64000,25900,962
1913,5,0,20000,2000,200,100,5
1913,8,30,1500,600,1000,400,18
1913,10,33,1160,91700,195000,78900,3032
1913,11,53,1500,300,500,200,16
1913,12,0,0,0,0,0,0
1913,18,1,2710,633000,577000,234000,7615
1913,19,41,1390,7300,13000,5250,301
1913,0,35,1450,2900,5000,2000,101
1913,1,88,1715,600,900,350,53
1913,2,30,1360,6050,11000,4450,183
1913,5,0,16000,4000,600,250,20
1913,8,32,1815,2900,4000,1600,93
1913,10,34,1235,50750,101500,41100,1744
1913,11,60,2000,200,200,100,12
1913,12,40,2000,200,300,100,8
1913,18,1,3700,795000,531000,215000,10135
1913,19,42,1380,7250,13000,5250,304
1913,0,26,1620,317600,485000,196300,8170
1913,1,66,1125,18200,40000,16200,1199
1913,2,28,1030,80300,193000,78100,2213
1913,4,25,3915,411000,260000,105000,10195
1913,5,0,19790,2038000,255000,103000,10246
1913,6,55,1455,4150,7000,2850,228
1913,8,26,1735,246900,352000,142400,6412
1913,10,25,1425,1621800,2814000,1138800,39960
1913,11,36,1215,93400,190000,76900,3397
1913,12,27,1155,39800,85000,34400,1081
1913,16,0,20500,125200,15000,6100,856
1913,18,1,2720,3720000,3381000,1368000,45552
1913,19,31,1570,540400,850000,343900,16896
1913,21,32,1325,59400,111000,44900,1877
1913,22,31,1610,481000,1310066,0,15019
1913,0,15,1630,676000,1025000,415000,9954
1913,5,0,17550,93000,13200,5300,865
1913,6,38,705,441100,1545000,625000,16838
1913,8,17,1775,3900,5500,2200,68
